# Archimedes Model Dataset: US vs China Ratios
# Period: 1989-2024
# 
# Variable Definitions (following Archimedes model specification):
# - child_mortality_volatility_ratio: Ratio of US to China child mortality volatility
#   Higher values = US has higher child mortality volatility relative to China
# - food_volatility_ratio: Ratio of US to China food price volatility
#   Higher values = US has higher food price volatility relative to China
# - gdp_volatility_ratio: Ratio of US to China GDP volatility
#   Higher values = US has higher GDP volatility relative to China
# - exchange_rate_volatility: Exchange rate volatility between USD and CNY
#   Higher values = greater currency volatility
# 
# All ratios follow US/China convention
# Missing values indicate data not available for that year
#
year,child_mortality_volatility_ratio,food_volatility_ratio,gdp_volatility_ratio,exchange_rate_volatility
1989,3.268770440929016,6.062031330764202,11.29816815406294,11.195456772200957
1990,0.9125632153594253,5.913423018298022,8.656437920056597,11.58587879296826
1991,1.1353666155118938,11.483643055438188,4.902556681138447,10.986347587316448
1992,1.7366945939843144,8.883198176154059,2.3018999197217016,11.301842561022307
1993,2.5558466164616456,6.340578820427774,2.3423930021868165,10.598593895279055
1994,4.07785179812577,7.811407840509632,8.221626680279055,19.422286662398324
1995,7.415245560005484,12.990257541421618,10.354989200863931,20.977082856948304
1996,3.6721538377973726,43.35392896247687,19.206680957484817,21.868816414127085
1997,1.8055007789753221,31.930976317425905,17.04342313787639,22.249435268458377
1998,1.1300651370121246,18.698265942297272,16.97740600206968,22.64341107706988
1999,1.1137396750733621,13.776947106962133,16.78426005132592,1.2708094862884072
2000,1.5420349567994454,5.620422504060942,12.223013698630139,0.14016046526296255
2001,2.3178712952983695,2.3474019036853706,1.739688222570299,0.12948443113079622
2002,3.5113990788491574,1.1022636006291697,1.3023110164714724,0.13359599472052894
2003,4.155588936033517,1.5445676759140812,1.5457301341589267,0.11891985196712465
2004,4.710916538123247,2.5371978540729274,1.949376331000913,0.007875044127799326
2005,5.641212060847922,2.4748326627094963,2.0612946454582532,0.44528704252761914
2006,5.6074843531933505,2.217965393282075,2.85731050669612,1.1816474326492186
2007,1.6345383487717984,3.571141590419721,6.344039595619209,1.976981513912239
2008,1.2233302722581978,4.091985949958673,3.1577377892030847,3.417493777805056
2009,1.4749715486235875,1.586850849865335,2.238767614583039,3.0648233099528635
2010,1.703470275910457,1.584098641216365,2.4643364317066876,3.0866604676704825
2011,1.9951074515479483,1.6476874770268717,2.8413384506464956,3.045913319730501
2012,3.2306837388802436,1.6621954890497364,2.947274282603624,3.1095594987886415
2013,0.8757334605421666,1.7611066199074747,2.0614656315091837,1.3454802086892181
2014,0.26674034073072095,2.0313193362275546,22.338820826952528,1.7923791034339038
2015,0.20952665110551008,1.4599183112146992,25.73426838514026,2.5512921732293594
2016,0.2876681619693757,0.6939458886251141,7.989382879893829,3.4289913075167284
2017,0.4728137839902082,0.6149818138742479,6.73818357799645,2.999865483243293
2018,0.9314538913452207,0.3055240742769509,4.728287026908773,2.866757199689102
2019,1.9590505559255273,0.6236468885663243,5.106168511011286,3.01408180810498
2020,1.986226826549162,0.9222438262864772,2.0295136026380876,3.2150412954863903
2021,1.936616660157594,0.5581949463525158,1.8392076274223996,4.141705061851922
2022,1.7354055450606412,0.25547579191307634,1.8578937329122776,4.634020395605658
2023,0.09907729218777261,0.4026166171785228,1.9023396898797276,4.934179215339767
2024,0.10739472892862877,0.40051171683597425,1.9400280444396505,4.661778719633893
