variable,count,mean,median,std,min,max,first_year,last_year
child_mortality_volatility_ratio,36,2.178892083968486,1.7360500695224776,1.7354635284744804,0.0990772921877726,7.415245560005484,1989,2024
food_volatility_ratio,36,5.812854320425705,2.1246423647548145,9.079130143208003,0.2554757919130763,43.35392896247687,1989,2024
gdp_volatility_ratio,36,6.834100554531085,3.0525060359033542,6.66007117931423,1.3023110164714724,25.73426838514026,1989,2024
education_ratio,6,0.9465331373071281,0.9440408680397104,0.008848676793896544,0.9387350849054048,0.9613669348691808,1990,1996
exchange_rate_volatility,36,6.209553763781873,3.0981099832295618,7.044475733863447,0.0078750441277993,22.64341107706988,1989,2024
