# Archimedes Model Dataset: US vs UK Log Ratios
# Period: 1850-1960
# 
# Variable Definitions (following Archimedes model specification):
# - wheat_affordability_ratio: -ln(A_US/A_UK) where A = wheat_price/gdp_per_capita
#   Positive values = wheat more affordable in US relative to UK
# - gdp_ratio_us_uk: ln(GDP_US/GDP_UK)
#   Positive values = US GDP larger than UK GDP
# - military_expenditure_ratio_us_uk: ln(S_US/S_UK) where S = global military expenditure share
#   Positive values = US has larger share of global military expenditures than UK
# - military_personnel_ratio_us_uk: ln(S_US/S_UK) where S = global military personnel share
#   Positive values = US has larger share of global military personnel than UK
# - composite_military_ratio_us_uk: average of expenditure and personnel ratios
#   Positive values = US military dominance over UK
# 
# All ratios follow log(US/UK) convention from Archimedes model
# Missing values indicate data not available for that year
#
year,wheat_affordability_ratio,log_wheat_affordability_ratio,gdp_ratio_us_uk,military_expenditure_ratio_us_uk,military_personnel_ratio_us_uk,composite_military_ratio_us_uk
1892,-0.9551631680774063,-0.9551631680774063,0.6586082680570893,-0.7109700300253118,-1.9993988340062994,-1.3551844320158055
1893,-0.9446697129546164,-0.9446697129546164,0.6100366194576242,-0.5642199868908363,-2.020018121209035,-1.2921190540499357
1894,-0.7976669421710221,-0.7976669421710221,0.5164800039945299,-0.728934335406686,-1.9727573990915015,-1.3508458672490937
1895,-0.9705623515713766,-0.9705623515713766,0.6002545095845602,-0.8559146470239353,-1.9956716586143772,-1.4257931528191563
1896,-1.0934823701594563,-1.0934823701594563,0.5399764497316725,-0.7663674609265034,-2.0149030205422647,-1.390635240734384
1897,-1.2288027880915038,-1.2288027880915038,0.618868016461896,-0.15121357012828954,-1.9810014688665836,-1.0661075194974365
1898,-1.20298933355713,-1.20298933355713,0.5929489089438071,0.43762940799317357,-0.33828657035145276,0.0496714188208604
1899,-0.9676914650316352,-0.9676914650316352,0.6400232849642794,-0.4988384422891919,-1.1969481893889715,-0.8478933158390817
1900,-0.9712757281989773,-0.9712757281989773,0.6752880263025002,-1.0588086488819664,-1.351982216131112,-1.2053954325065392
1901,-0.8955112867328848,-0.8955112867328848,0.7830073768918075,-1.1753519609328267,-1.5372511704582723,-1.3563015656955495
1902,-0.916193973244348,-0.916193973244348,0.7690136871751436,-0.8551895602941056,-1.482832288162538,-1.1690109242283218
1903,-1.0209671378124272,-1.0209671378124272,0.8284587200307261,-0.41574365546908043,-1.3672461661491961,-0.8914949108091383
1904,-1.3740673815296893,-1.3740673815296893,0.8107560903261587,-0.220092028411222,-1.3132347902503856,-0.7666634093308038
1905,-1.1947344169054137,-1.1947344169054137,0.8538799991704543,-0.2094172414875263,-1.294219682173714,-0.7518184618306202
1906,-0.9090060815087057,-0.9090060815087057,0.9308899757389719,-0.21200890400459524,-1.2321436812926325,-0.7220762926486138
1907,-1.0368437120568528,-1.0368437120568528,0.9280796127892945,0.09867556390575975,-1.2286654169163076,-0.5649949265052739
