Year,US_Price,UK_Price,US_Price_Normalized,UK_Price_Normalized,US_Volatility_Normalized,UK_Volatility_Normalized,Volatility_Ratio_Normalized,US_YoY_Change_Normalized,UK_YoY_Change_Normalized,Price_Correlation_Normalized,Period
1736,78.0,2.645,0.9808056001018226,0.3461315427210371,0.008891465267401309,0.0,,-1.2658227848101333,0.0,,Early Colonial
1736,71.0,2.645,0.8927845847080693,0.3461315427210371,0.062240256871846915,0.0,,-8.974358974358976,0.0,,Early Colonial
1736,69.0,2.645,0.867635723166997,0.3461315427210371,0.0177829305348056,0.0,,-2.8169014084507005,0.0,,Early Colonial
1736,70.0,2.645,0.8802101539375331,0.3461315427210371,0.008891465267389752,0.0,,1.4492753623188248,0.0,,Early Colonial
1736,74.0,2.645,0.9305078770196779,0.3461315427210371,0.0355658610696243,0.0,,5.714285714285716,0.0,,Early Colonial
1736,64.0,2.645,0.804763569314316,0.3461315427210371,0.0889146526740674,0.0,,-13.513513513513509,0.0,,Early Colonial
1736,64.0,2.645,0.804763569314316,0.3461315427210371,0.0,0.0,,0.0,0.0,-0.9340932898056221,Early Colonial
1737,92.0,2.51,1.1568476308893292,0.3284650934706249,0.2489610274873935,0.012492066064454441,19.929531768631918,43.74999999999998,-5.103969754253324,-0.990524705778462,Early Colonial
1737,87.0,2.51,1.0939754770366483,0.3284650934706249,0.04445732633703595,0.0,,-5.4347826086956434,0.0,-0.9811704987070612,Early Colonial
1737,93.0,2.51,1.1694220616598654,0.3284650934706249,0.05334879160444284,0.0,,6.896551724137923,0.0,,Early Colonial
1737,93.0,2.51,1.1694220616598654,0.3284650934706249,0.0,0.0,,0.0,0.0,,Early Colonial
1737,94.0,2.51,1.1819964924304016,0.3284650934706249,0.00889146526742061,0.0,,1.0752688172043001,0.0,,Early Colonial
1737,93.0,2.51,1.1694220616598654,0.3284650934706249,0.00889146526742061,0.0,,-1.0638297872340496,0.0,,Early Colonial
1737,93.0,2.51,1.1694220616598654,0.3284650934706249,0.0,0.0,,0.0,0.0,,Early Colonial
1737,92.0,2.51,1.1568476308893292,0.3284650934706249,0.008891465267418804,0.0,,-1.0752688172043001,0.0,,Early Colonial
1737,87.0,2.51,1.0939754770366483,0.3284650934706249,0.04445732633703569,0.0,,-5.4347826086956434,0.0,,Early Colonial
1737,87.0,2.51,1.0939754770366483,0.3284650934706249,0.0,0.0,,0.0,0.0,,Early Colonial
1737,95.0,2.51,1.1945709232009378,0.3284650934706249,0.07113172213925652,0.0,,9.195402298850585,0.0,-0.8531145054348938,Early Colonial
1738,102.0,2.3674999999999997,1.2825919385946911,0.30981717481741217,0.06224025687185202,0.013186069734701863,4.720152260992064,7.36842105263158,-5.677290836653381,-0.8892972917999071,Early Colonial
1738,102.0,2.3674999999999997,1.2825919385946911,0.30981717481741217,0.0,0.0,,0.0,0.0,-0.5773502691894589,Early Colonial
1738,95.0,2.3674999999999997,1.1945709232009378,0.30981717481741217,0.06224025687185202,0.0,,-6.8627450980392135,0.0,,Early Colonial
1738,94.0,2.3674999999999997,1.1819964924304016,0.30981717481741217,0.008891465267424407,0.0,,-1.0526315789473717,0.0,,Early Colonial
1738,94.0,2.3674999999999997,1.1819964924304016,0.30981717481741217,0.0,0.0,,0.0,0.0,,Early Colonial
1738,98.0,2.3674999999999997,1.2322942155125465,0.30981717481741217,0.035565861069633116,0.0,,4.255319148936176,0.0,-0.9860407547044584,Early Colonial
1739,73.0,2.3925,0.9179334462491417,0.3130887394934144,0.22228663168517288,0.0023133455674918483,96.08881388446353,-25.510204081632658,1.055966209081305,-0.9776335038133206,Early Colonial
1739,66.0,2.3925,0.8299124308553884,0.3130887394934144,0.06224025687184211,0.0,,-9.589041095890416,0.0,-0.9729871876452191,Early Colonial
1739,65.0,2.3925,0.8173380000848522,0.3130887394934144,0.008891465267352643,0.0,,-1.5151515151515027,0.0,,Early Colonial
1739,61.0,2.3925,0.7670402770027075,0.3130887394934144,0.03556586106961266,0.0,,-6.153846153846154,0.0,,Early Colonial
1739,63.0,2.3925,0.7921891385437798,0.3130887394934144,0.01778293053478257,0.0,,3.2786885245901676,0.0,,Early Colonial
1739,63.0,2.3925,0.7921891385437798,0.3130887394934144,0.0,0.0,,0.0,0.0,,Early Colonial
