1841    1 .                               
1841    2 .                               
1841    3 .                               
1841    4 .                               
1841    5 .                               
1841    6 .                               
1841    7 59.5000                         
1841    8 78.0000                         
1841    9 92.5000                         
1841   10 72.5000                         
1841   11 74.0000                         
1841   12 82.0000                         
1842    1 82.0000                         
1842    2 90.0000                         
1842    3 90.0000                         
1842    4 86.5000                         
1842    5 84.0000                         
1842    6 86.0000                         
1842    7 85.0000                         
1842    8 69.0000                         
1842    9 57.5000                         
1842   10 45.0000                         
1842   11 35.5000                         
1842   12 36.0000                         
1843    1 36.5000                         
1843    2 33.5000                         
1843    3 33.5000                         
1843    4 37.5000                         
1843    5 39.0000                         
1843    6 42.0000                         
1843    7 43.0000                         
1843    8 56.0000                         
1843    9 53.0000                         
1843   10 52.0000                         
1843   11 53.0000                         
1843   12 56.0000                         
1844    1 52.5000                         
1844    2 55.0000                         
1844    3 55.0000                         
1844    4 60.0000                         
1844    5 60.0000                         
1844    6 59.5000                         
1844    7 69.0000                         
1844    8 62.5000                         
1844    9 47.5000                         
1844   10 50.5000                         
1844   11 50.5000                         
1844   12 47.0000                         
1845    1 57.5000                         
1845    2 60.0000                         
1845    3 67.5000                         
1845    4 67.5000                         
1845    5 67.0000                         
1845    6 67.0000                         
1845    7 62.5000                         
1845    8 53.0000                         
1845    9 57.5000                         
1845   10 42.5000                         
1845   11 51.5000                         
1845   12 78.0000                         
1846    1 65.0000                         
1846    2 62.5000                         
1846    3 64.0000                         
1846    4 64.0000                         
1846    5 52.5000                         
1846    6 45.0000                         
1846    7 40.0000                         
1846    8 45.0000                         
1846    9 51.0000                         
1846   10 51.0000                         
1846   11 42.5000                         
1846   12 45.0000                         
1847    1 52.5000                         
1847    2 55.0000                         
1847    3 60.0000                         
1847    4 60.0000                         
1847    5 67.5000                         
1847    6 70.0000                         
1847    7 57.5000                         
1847    8 47.5000                         
1847    9 65.0000                         
1847   10 70.0000                         
1847   11 60.0000                         
1847   12 60.0000                         
1848    1 65.0000                         
1848    2 65.0000                         
1848    3 75.0000                         
1848    4 75.0000                         
1848    5 82.5000                         
1848    6 82.5000                         
1848    7 67.5000                         
1848    8 62.5000                         
1848    9 81.0000                         
1848   10 58.0000                         
1848   11 55.0000                         
1848   12 55.0000                         
1849    1 59.5000                         
1849    2 59.0000                         
1849    3 57.5000                         
1849    4 56.5000                         
1849    5 55.0000                         
1849    6 56.0000                         
1849    7 60.0000                         
1849    8 62.5000                         
1849    9 62.5000                         
1849   10 56.5000                         
1849   11 52.5000                         
1849   12 54.0000                         
1850    1 60.0000                         
1850    2 64.0000                         
1850    3 65.0000                         
1850    4 72.5000                         
1850    5 89.0000                         
1850    6 90.0000                         
1850    7 76.0000                         
1850    8 57.5000                         
1850    9 57.5000                         
1850   10 46.0000                         
1850   11 47.5000                         
1850   12 50.0000                         
1851    1 55.0000                         
1851    2 53.0000                         
1851    3 53.0000                         
1851    4 53.0000                         
1851    5 49.0000                         
1851    6 48.0000                         
1851    7 43.5000                         
1851    8 35.0000                         
1851    9 43.0000                         
1851   10 38.5000                         
1851   11 35.0000                         
1851   12 36.0000                         
1852    1 38.0000                         
1852    2 43.0000                         
1852    3 39.5000                         
1852    4 37.0000                         
1852    5 34.0000                         
1852    6 38.0000                         
1852    7 37.5000                         
1852    8 44.5000                         
1852    9 52.0000                         
1852   10 52.5000                         
1852   11 60.0000                         
1852   12 60.0000                         
1853    1 69.0000                         
1853    2 65.5000                         
1853    3 59.0000                         
1853    4 60.0000                         
1853    5 65.5000                         
1853    6 65.5000                         
1853    7 68.5000                         
1853    8 75.0000                         
1853    9 81.5000                         
1853   10 90.0000                         
1853   11 93.5000                         
1853   12 82.5000                         
1854    1 104.500                         
1854    2 107.500                         
1854    3 105.000                         
1854    4 112.500                         
1854    5 127.500                         
1854    6 112.500                         
1854    7 97.5000                         
1854    8 102.500                         
1854    9 105.000                         
1854   10 105.000                         
1854   11 112.500                         
1854   12 105.000                         
1855    1 114.000                         
1855    2 115.500                         
1855    3 124.000                         
1855    4 140.000                         
1855    5 155.000                         
1855    6 160.000                         
1855    7 127.500                         
1855    8 105.000                         
1855    9 118.000                         
1855   10 137.000                         
1855   11 135.500                         
1855   12 130.000                         
1856    1 131.500                         
1856    2 115.000                         
1856    3 107.500                         
1856    4 116.000                         
1856    5 109.500                         
1856    6 103.000                         
1856    7 104.000                         
1856    8 104.000                         
1856    9 100.000                         
1856   10 90.0000                         
1856   11 77.5000                         
1856   12 81.0000                         
1857    1 87.5000                         
1857    2 90.5000                         
1857    3 87.5000                         
1857    4 95.0000                         
1857    5 113.500                         
1857    6 123.500                         
1857    7 119.500                         
1857    8 103.000                         
1857    9 84.5000                         
1857   10 72.5000                         
1857   11 61.0000                         
1857   12 54.5000                         
1858    1 55.0000                         
1858    2 55.0000                         
1858    3 60.5000                         
1858    4 61.0000                         
1858    5 62.5000                         
1858    6 67.0000                         
1858    7 64.5000                         
1858    8 87.0000                         
1858    9 76.5000                         
1858   10 63.5000                         
1858   11 61.5000                         
1858   12 65.0000                         
1859    1 75.0000                         
1859    2 92.0000                         
1859    3 104.000                         
1859    4 93.5000                         
1859    5 116.500                         
1859    6 103.000                         
1859    7 71.5000                         
1859    8 64.5000                         
1859    9 73.0000                         
1859   10 83.0000                         
1859   11 86.5000                         
1859   12 92.0000                         
1860    1 97.0000                         
1860    2 98.5000                         
1860    3 101.500                         
1860    4 100.000                         
1860    5 109.500                         
1860    6 106.000                         
1860    7 98.0000                         
1860    8 82.0000                         
1860    9 87.0000                         
1860   10 83.5000                         
