# Wheat Affordability Analysis: Income-Deflated Price Index (Option A)
# Methodology: A_{i,t} = p_{i,t} / y^{pc}_{i,t}
# 
# Column Definitions:
# - affordability_index: Fraction of annual income needed to buy 1 kg wheat (unit-free)
# - log_affordability_index: Natural log of affordability index (for regression)
# - kg_wheat_per_1pct_gdp: Kg of wheat purchasable with 1% of GDP per capita
# - affordability_percentage: Affordability index as percentage
# 
# Lower affordability_index values = wheat more affordable
# Higher kg_wheat_per_1pct_gdp values = wheat more affordable
#
year,country,wheat_price_nominal,gdp_per_capita,affordability_index,log_affordability_index,kg_wheat_per_1pct_gdp,affordability_percentage
1850,UK,24.625,4332.0,0.005684441366574331,-5.170022421062729,1.759187817258883,0.5684441366574331
1851,UK,24.11108333333333,4477.0,0.005385544635544635,-5.224036834111121,1.8568224156940274,0.5385544635544635
1852,UK,27.59041666666667,4626.0,0.005964205937454965,-5.121979352586096,1.6766691333041361,0.5964205937454965
1853,UK,29.979166666666668,4734.0,0.0063327348260808335,-5.062023094094452,1.57909659485754,0.6332734826080834
1854,UK,38.034666666666666,4909.0,0.007747945949616351,-4.860327509505041,1.290664656804319,0.774794594961635
1855,UK,32.68741666666667,4748.0,0.006884460123560798,-4.978488563302186,1.4525467241471615,0.6884460123560798
1856,UK,39.00008333333333,5013.0,0.007779789214708424,-4.856226034384004,1.2853818688421608,0.7779789214708425
1857,UK,43.47933333333333,5019.0,0.008662947466294747,-4.748700260239497,1.1543415262423526,0.8662947466294747
1858,UK,36.840333333333334,4879.0,0.007550795928127348,-4.886102300333581,1.324363695587264,0.7550795928127348
1859,UK,39.00008333333333,5031.0,0.007751954548466175,-4.8598102676118184,1.2899972435956335,0.7751954548466176
1860,UK,35.257,5086.0,0.006932166732206055,-4.9715828548782115,1.4425504155203224,0.6932166732206055
1861,UK,37.01391666666667,5024.0,0.007367419718683652,-4.9106877400953834,1.3573273115742504,0.7367419718683652
1862,UK,35.618,4764.0,0.007476490344248531,-4.895991802421377,1.3375259700151607,0.7476490344248531
1863,UK,34.340333333333334,5165.0,0.0066486608583414,-5.013339819278483,1.5040622785645645,0.6648660858341401
1864,UK,31.298666666666666,5255.0,0.005955978433238186,-5.123359785181338,1.6789852602879782,0.5955978433238186
1865,UK,29.138833333333334,5333.0,0.005463872742046378,-5.209597447239926,1.8302036800832795,0.5463872742046378
1866,UK,33.847166666666666,5451.0,0.0062093499663670275,-5.0816990638188075,1.6104745350423226,0.6209349966367027
1867,UK,40.479166666666664,5424.0,0.007462973205506391,-4.897801391150683,1.3399485331960885,0.7462973205506391
1868,UK,41.514,5636.0,0.007365862313697658,-4.910899153273842,1.3576142987907693,0.7365862313697658
1869,UK,42.083333333333336,5635.0,0.0074682046731736175,-4.897100646986517,1.339009900990099,0.7468204673173617
1870,UK,35.027833333333334,5829.0,0.006009235432035226,-5.114457754495175,1.664105211569847,0.6009235432035226
1871,UK,36.0555,5797.0,0.006219682594445403,-5.080036403365044,1.6077990875178543,0.6219682594445404
1872,UK,35.9375,5769.0,0.0062294158433003986,-5.07847271569932,1.6052869565217391,0.6229415843300399
1873,UK,39.374833333333335,5842.0,0.006739957777017003,-4.99970161861508,1.4836888198468565,0.6739957777017003
1874,UK,45.26408333333333,5874.0,0.00770583645443196,-4.86577725615003,1.2977176532534074,0.770583645443196
1875,UK,40.63191666666666,5950.0,0.006828893557422968,-4.986592615971495,1.4643660669055323,0.6828893557422968
1876,UK,34.3265,5938.0,0.005780818457393062,-5.153210004697318,1.72985885540326,0.5780818457393062
1877,UK,38.4305,5923.0,0.006488350498058417,-5.037746941116102,1.5412237675804372,0.6488350498058417
1878,UK,41.0765,5879.0,0.006986987582922266,-4.963705776582106,1.4312319696176645,0.6986987582922266
1879,UK,34.291666666666664,5786.0,0.005926662057840764,-5.128294115206956,1.6872904009720537,0.5926662057840765
1880,UK,34.95133333333333,5997.0,0.005828136290367406,-5.145058005478653,1.7158143704579703,0.5828136290367406
1881,UK,31.88891666666667,6146.0,0.005188564377915175,-5.261298233187269,1.9273153943245693,0.5188564377915176
1882,UK,30.972166666666666,6269.0,0.004940527463178604,-5.310283179559441,2.024075379507407,0.4940527463178604
1883,UK,54.8125,6264.0,0.008750399106002555,-4.738655967538238,1.1428050171037627,0.8750399106002554
1884,UK,31.124916666666667,6220.0,0.005004005894962487,-5.297516508328109,1.9983989247628509,0.5004005894962487
1885,UK,30.638749999999998,6132.0,0.004996534572733202,-5.2990106922961555,2.0013871323079435,0.4996534572733202
1886,UK,27.604083333333335,6170.0,0.0044739195029713675,-5.409490408259483,2.235176559023574,0.44739195029713674
1887,UK,24.784833333333335,6358.0,0.0038982122260668977,-5.547237234518164,2.565278496930246,0.3898212226066898
1888,UK,27.993083333333335,6585.0,0.004251037711971653,-5.460592158327108,2.352366804895257,0.42510377119716525
