country,year,education,educated_quantity,education_quality
USA,1870,0.512032060762926,0.33299999999999996,0.691064121525852
USA,1875,0.5133185203574975,0.353,0.6736370407149951
USA,1880,0.5331417426191793,0.374,0.6922834852383587
USA,1885,0.5477401728087552,0.39,0.7054803456175104
USA,1890,0.556359828438415,0.382,0.7307196568768302
USA,1895,0.566402909529204,0.38,0.7528058190584079
USA,1900,0.5606296561872134,0.37200000000000005,0.7492593123744267
USA,1905,0.5748220264330659,0.369,0.7806440528661318
USA,1910,0.585104680866057,0.37799999999999995,0.7922093617321142
USA,1915,0.5950975651375755,0.38099999999999995,0.809195130275151
USA,1920,0.6119915108360086,0.389,0.8349830216720171
USA,1925,0.6278174881007617,0.39699999999999996,0.8586349762015233
USA,1930,0.6518306562917657,0.41400000000000003,0.8896613125835314
USA,1935,0.6898815728626081,0.439,0.9407631457252161
USA,1940,0.7231791343458815,0.468,0.9783582686917631
USA,1945,0.7566619131392218,0.505,1.0083238262784437
USA,1950,0.7872184472547499,0.532,1.0424368945094997
USA,1955,0.8097926714545467,0.55,1.0695853429090934
USA,1960,0.8450120178821505,0.58,1.110024035764301
USA,1965,0.8854680830671084,0.6099999999999999,1.160936166134217
USA,1970,0.9260817877462297,0.6419999999999999,1.2101635754924596
USA,1975,0.9511566360765382,0.654,1.2483132721530763
USA,1980,1.0082022885839677,0.701,1.3154045771679352
USA,1985,0.9750648148148149,0.648,1.3021296296296296
USA,1990,0.9808837091549425,0.6339999999999999,1.327767418309885
USA,1995,0.9674691481525088,0.627,1.3079382963050177
USA,2000,1.0163975506000442,0.655,1.3777951012000882
USA,2005,0.9706400214788279,0.615,1.3262800429576558
USA,2010,1.0265765759959224,0.639,1.4141531519918447
United Kingdom,1870,0.1383353814644137,0.076,0.20067076292882743
United Kingdom,1875,0.268679270680372,0.08199999999999999,0.455358541360744
United Kingdom,1880,0.36476972010178116,0.09799999999999999,0.6315394402035623
United Kingdom,1885,0.3206868122115726,0.121,0.5203736244231452
United Kingdom,1890,0.3292741246208989,0.161,0.49754824924179775
United Kingdom,1895,0.35465436005625883,0.196,0.5133087201125176
United Kingdom,1900,0.44572610405323654,0.23600000000000002,0.6554522081064731
United Kingdom,1905,0.44081341550553765,0.27899999999999997,0.6026268310110754
United Kingdom,1910,0.4978840773434048,0.317,0.6787681546868095
United Kingdom,1915,0.5145388554799459,0.35100000000000003,0.6780777109598918
United Kingdom,1920,0.5655869948638027,0.38799999999999996,0.7431739897276055
United Kingdom,1925,0.5880664561823992,0.423,0.7531329123647984
United Kingdom,1930,0.6323282039141414,0.45299999999999996,0.8116564078282829
United Kingdom,1935,0.6700576232119857,0.475,0.8651152464239713
United Kingdom,1940,0.6944014929742388,0.496,0.8928029859484777
United Kingdom,1945,0.717134986777838,0.517,0.9172699735556762
United Kingdom,1950,0.6412645941075066,0.47,0.8125291882150132
United Kingdom,1955,0.6600490395326342,0.46199999999999997,0.8580980790652685
United Kingdom,1960,0.6580980029830781,0.43700000000000006,0.8791960059661561
United Kingdom,1965,0.6796740862047019,0.45799999999999996,0.9013481724094038
United Kingdom,1970,0.7017392204775597,0.465,0.9384784409551193
United Kingdom,1975,0.7055454213884914,0.45300000000000007,0.9580908427769828
United Kingdom,1980,0.6911942849183084,0.41900000000000004,0.9633885698366168
United Kingdom,1985,0.6845170510379825,0.398,0.971034102075965
United Kingdom,1990,0.699662858905127,0.401,0.9983257178102539
United Kingdom,1995,0.7183830970091879,0.41,1.0267661940183759
United Kingdom,2000,0.7546415320885493,0.42700000000000005,1.0822830641770986
United Kingdom,2005,0.9916909824133284,0.644,1.3393819648266567
United Kingdom,2010,1.1174094944231894,0.764,1.4708189888463785
