Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron,source,country,currency,period,avg_grain_price,avg_legume_price,grain_price_volatility,grain_price_trend,Rye_relative_to_wheat,Barley_relative_to_wheat,Oats_relative_to_wheat,century,period_classification
1242,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,,0.33636363636363636,,,,1200,High_Medieval
1243,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,,0.33022727272727276,,,,1200,High_Medieval
1244,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,,0.3440909090909091,,,,1200,High_Medieval
1245,0.25,0.16,0.12,0.25,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.195,,0.14763129749480625,0.3360416666666666,0.64,0.48,1.0,1200,High_Medieval
1246,0.35,0.22,0.16,0.29,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.255,,0.14763129749480625,0.32375000000000004,0.6285714285714287,0.4571428571428572,0.8285714285714285,1200,High_Medieval
1247,0.65,0.42,0.25,0.62,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.485,,0.1331540461270328,0.32931818181818184,0.6461538461538461,0.3846153846153846,0.9538461538461538,1200,High_Medieval
1248,0.62,0.47,0.26,0.69,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.51,,0.12401036823012589,0.3502272727272727,0.7580645161290323,0.41935483870967744,1.1129032258064515,1200,High_Medieval
1249,0.34,0.22,0.15,0.27,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.24500000000000002,,0.12293290853144241,0.37166666666666665,0.6470588235294117,0.4411764705882352,0.7941176470588235,1200,High_Medieval
1250,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,0.12008099118696694,0.37166666666666665,,,,1200,High_Medieval
1251,0.35,0.33,0.46,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.37999999999999995,,0.11497357788253396,0.3776923076923077,0.942857142857143,1.3142857142857145,,1200,High_Medieval
1252,0.36,0.24,0.19,0.33,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.28,,0.11763290356018585,0.3842857142857143,0.6666666666666666,0.5277777777777778,0.9166666666666667,1200,High_Medieval
1253,0.54,0.43,0.27,0.6,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.45999999999999996,,0.1321622210715733,0.3926666666666667,0.7962962962962963,0.5,1.111111111111111,1200,High_Medieval
1254,0.35,0.21,0.14,0.29,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.2475,,0.15067556205304158,0.3903125,0.6,0.4000000000000001,0.8285714285714285,1200,High_Medieval
