country,year,mortality_rate
United States,1808,329.04
United States,1809,329.04
United States,1810,329.04
United States,1811,329.04
United States,1812,329.04
United States,1813,329.04
United States,1814,329.04
United States,1815,329.04
United States,1816,329.04
United States,1817,329.04
United States,1818,329.04
United States,1819,329.04
United States,1820,329.04
United States,1821,329.04
United States,1822,329.04
United States,1823,329.04
United States,1824,329.04
United States,1825,329.04
United States,1826,329.04
United States,1827,329.04
United States,1828,329.04
United States,1829,329.04
United States,1830,329.04
United States,1831,329.04
United States,1832,329.04
United States,1833,329.04
United States,1834,329.04
United States,1835,329.04
United States,1836,329.04
United States,1837,329.04
United States,1838,329.04
United States,1839,329.04
United States,1840,329.04
United States,1841,329.04
United States,1842,329.04
United States,1843,329.04
United States,1844,329.04
United States,1845,329.04
United States,1846,329.04
United States,1847,329.04
United States,1848,329.04
United States,1849,329.04
United States,1850,329.04
United States,1851,329.04
United States,1852,329.04
United States,1853,329.04
United States,1854,329.04
United States,1855,329.04
United States,1856,329.04
United States,1857,329.04
United States,1858,329.04
United States,1859,329.04
United States,1860,329.04
United States,1861,329.04
United States,1862,329.04
United States,1863,329.04
United States,1864,329.04
United States,1865,329.04
United States,1866,329.04
United States,1867,329.04
United States,1868,329.04
United States,1869,329.04
United States,1870,329.04
United States,1871,329.04
United States,1872,329.04
United States,1873,329.04
United States,1874,329.04
United States,1875,329.04
United States,1876,329.04
United States,1877,329.04
United States,1878,329.04
United States,1879,329.04
United States,1880,329.04
United States,1881,322.4
United States,1882,315.87
United States,1883,309.38
United States,1884,304.05
United States,1885,297.7
United States,1886,291.41
United States,1887,285.21
United States,1888,279.06
United States,1889,274.0
United States,1890,267.97
United States,1891,264.0
United States,1892,260.02
United States,1893,257.1
United States,1894,253.19
United States,1895,249.28
United States,1896,246.37
United States,1897,242.47
United States,1898,238.58
United States,1899,234.69
United States,1900,231.7
United States,1901,227.8
United States,1902,216.59
United States,1903,215.43
United States,1904,224.23
United States,1905,217.53
United States,1906,218.96
United States,1907,217.67
United States,1908,202.16
United States,1909,193.91
United States,1910,202.16
United States,1911,187.93
United States,1912,181.6
United States,1913,186.19
United States,1914,176.62
United States,1915,172.1
United States,1916,179.04
United States,1917,180.24
United States,1918,239.32
United States,1919,168.84
United States,1920,167.64
United States,1921,145.53
United States,1922,145.92
United States,1923,150.11
United States,1924,139.7
United States,1925,130.0
United States,1926,120.99
United States,1927,112.59
United States,1928,104.78
United States,1929,97.51
United States,1930,90.75
United States,1931,84.44
United States,1932,78.58
United States,1933,73.12
United States,1934,79.71
United States,1935,75.32
United States,1936,75.94
United States,1937,73.58
United States,1938,69.53
United States,1939,62.88
United States,1940,61.85
United States,1941,60.33
United States,1942,54.71
United States,1943,53.67
United States,1944,50.29
United States,1945,48.19
United States,1946,46.61
United States,1947,42.76
United States,1948,39.7
United States,1949,39.62
United States,1950,37.63
United States,1951,36.62
United States,1952,35.63
United States,1953,34.68
United States,1954,33.79
United States,1955,33.0
United States,1956,32.32
United States,1957,31.71
United States,1958,31.14
United States,1959,30.6
United States,1960,30.05
United States,1961,29.49
United States,1962,28.92
United States,1963,28.33
United States,1964,27.72
United States,1965,27.08
United States,1966,26.4
United States,1967,25.68
United States,1968,24.91
United States,1969,24.1
United States,1970,23.25
United States,1971,22.37
United States,1972,21.47
United States,1973,20.57
United States,1974,19.67
United States,1975,18.78
United States,1976,17.92
United States,1977,17.1
United States,1978,16.33
United States,1979,15.62
United States,1980,14.97
United States,1981,14.38
United States,1982,13.86
United States,1983,13.41
United States,1984,13.03
United States,1985,12.7
United States,1986,12.42
United States,1987,12.15
United States,1988,11.87
United States,1989,11.57
United States,1990,11.24
United States,1991,10.88
United States,1992,10.5
United States,1993,10.13
United States,1994,9.78
United States,1995,9.46
United States,1996,9.18
United States,1997,8.94
United States,1998,8.75
United States,1999,8.59
United States,2000,8.45
United States,2001,8.33
United States,2002,8.23
United States,2003,8.14
United States,2004,8.05
United States,2005,7.96
United States,2006,7.86
United States,2007,7.75
United States,2008,7.61
United States,2009,7.47
United States,2010,7.33
United States,2011,7.2
United States,2012,7.08
United States,2013,6.97
United States,2014,6.88
United States,2015,6.8
United States,2016,6.73
United States,2017,6.64
United States,2018,6.53
United States,2019,6.58
